,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
year,1.0,0.10542593951852375,0.11180949781745893,0.0016858695423315495,0.13335327508828043,0.31547695195968173,0.12434640626659348,0.11728095935563508,-0.01337995482307995,-0.14022215239985947,0.16486312046991966,0.22266431632133213,0.111224148770407,0.05771384570319303,0.09596465076949363,0.3264590334870844,-0.010904846995215942,0.02881098105521945,-0.09789080156416766,-0.1795494093410835,-0.05549339528309598,0.02366214199988253,-0.2677981253719841,0.11314494520067084,0.16681186477278087,0.15278586063145683,0.1540231450245521,0.17496954243733281,0.12751766438585074,0.14865130147105793,0.09786167300325707,-0.43381974743711,-0.3058716128273848,-0.4123941120925626,-0.175573382724695,-0.27472889225474895,-0.2176405630388824,-0.7488521682075835,-0.4192991908689259,-0.2988608773341526,-0.39563534356766417,-0.16131671057199376,-0.2644760465245552,-0.21303424342433233,-0.7839803589346835,0.01782018154321361,-0.02317435276131787,0.019810853823953454,-0.006902937651009918,0.007995593744149269,-0.04143168179872606,0.009919025163819253,-0.04485063857763236,0.0038619998639013776,0.08109035755091003,0.007750084028652987,0.026715397901441517,-0.15724185560684997
co2,0.10542593951852375,1.0,0.04088391512887473,-0.11789816882004042,0.8861064607638125,0.07512247067323699,0.9591108592156816,0.13987789380016943,0.8548368856632106,-0.05226027492005229,0.9382616169971341,-0.004714152638066827,0.9673149190223562,0.00042683153694429,0.9084153331767765,-0.20012592916199973,-0.005356057936508147,0.46149570918010574,0.10495111227263282,0.051628304052585616,0.9974067317698436,0.021457983200674675,0.045305401408579214,0.9483766352557521,0.9162261414125848,0.9368116949184989,0.8912580927522878,0.8534644869015588,0.9164989189822034,0.8456298918765164,-0.14829196117391893,0.3763591000777202,0.5930208855267806,0.37157608242827067,0.7895539978611895,0.584845885797941,0.590804355571343,0.5124834220812162,0.37037230821636985,0.6029554238013651,0.3642013224589164,0.792236541457789,0.5693480276660186,0.5866090764967801,0.46122256691800145,0.9968929598593192,0.01773761966195663,0.9991169597475118,0.035996724527765846,0.9794088720598946,-0.018681800719337713,0.9842459556800535,-0.015696180527011674,0.8816405754111342,0.9547175500796715,0.9963069746362379,0.03679698547449405,0.03426560005598349
co2_per_capita,0.11180949781745893,0.04088391512887473,1.0,0.07716260146324934,0.03980238730641854,0.6058316617483489,0.18046168070181473,0.7672479564813259,-0.05909041262507203,0.6885283336456607,0.07601210456918879,0.6651466634300686,0.03842478138703798,0.9570210576154907,-0.17394113201722045,0.3949948886887232,0.01298029353538622,0.00834573135533634,0.44252722527970767,0.18537698169132216,0.041679631474729265,0.8893565315147043,0.529847031352924,0.048466307209944555,0.07389967838442121,0.2473390240995116,-0.0516911412754655,0.07958634490047116,0.03865843013930966,-0.11238558899155987,-0.2676188701022873,-0.000814764397464915,0.03737526761188829,0.05164736226326104,-0.06462926906100756,0.06799978107353093,0.014657065984873778,-0.05953369053035206,0.004923163973594714,0.0667722555379968,0.08479055847305919,-0.054326160475435495,0.08073242430477301,0.01819776733583227,0.05253953683080309,0.03708425905394004,0.6839608774879545,0.0441352007924374,0.8500335481351152,0.019580690575630173,0.2419338285295768,0.013646917349230528,0.04069738886766969,-0.012802251697637117,0.08957918604382806,0.05574209516193298,0.8234557217697315,0.44668416584221976
trade_co2,0.0016858695423315495,-0.11789816882004042,0.07716260146324934,1.0,-0.3923141029632506,-0.022837689457389558,-0.27865311582697766,0.008134054648078419,-0.10109284127270093,-0.0018078528619091406,0.03327697521480421,0.03282210095658051,0.036378636186710174,0.1517489359227831,-0.2866938562174089,0.05788920129101568,-0.02795122612973216,-0.330011863538431,-0.1444210785162031,-0.1383294727037479,-0.04612346786836395,0.14988973758022048,-0.062334528654949053,0.1210864052228796,-0.14156206388039275,0.12378739613927595,-0.08447976979061991,0.13037492843565474,0.1413353860079673,-0.3080391521557415,0.15703909055555032,-0.08482834552260561,-0.2936591508360325,-0.21259295227067548,-0.0862695715003145,0.0309710107374091,0.036793954724753615,-0.2701976654051588,0.10878698829564558,-0.08151148729321914,0.1164293965977626,-0.0634773995097451,0.10671850807655581,0.11942191978060397,-0.30712403572423513,-0.12441796537914519,0.010525709315216774,-0.13860700267329282,0.003923230262161966,-0.11061739202805977,-0.039073051815452016,-0.10675826234466,0.024917643280019875,-0.32837618451664824,-0.09130326445921866,-0.010919615084956298,0.07339299806415024,-0.12739704249330774
cement_co2,0.13335327508828043,0.8861064607638125,0.03980238730641854,-0.3923141029632506,1.0,0.10561008663380746,0.9004057861243746,0.045035065082719844,0.7644433639523737,-0.03846441757056792,0.7967178865918692,-0.022484332236186653,0.788390597202221,0.013556156614578785,0.9263266665609515,-0.15311628071061328,-0.008873295063463097,0.44842222136203275,0.021692526675448843,0.03931747933641564,0.8814969595019841,-0.041650502335217526,0.023073184062063674,0.7685902623358666,0.9442598023220056,0.7307225930001071,0.8611520104245431,0.7104312805871646,0.7610479480528246,0.9189920971694006,-0.1376793223447839,0.4728141031007019,0.4585013328045285,0.5053388338418499,0.6421291592747719,0.34916964948090656,0.4386858765670763,0.4041884456410317,0.4110585307047127,0.41750803638190936,0.4114711439750474,0.6425672721970528,0.3138943658299401,0.4045296901475403,0.33993587138901316,0.9396310785352429,-0.014759989640641118,0.9453750048182555,-0.00745279623535658,0.9033645202622093,-0.0408575567206541,0.9185005920967672,-0.04035455581021058,0.8350729359836091,0.859150141743648,0.9235503494768593,-0.009905084177007056,0.002114408222280518
cement_co2_per_capita,0.31547695195968173,0.07512247067323699,0.6058316617483489,-0.022837689457389558,0.10561008663380746,1.0,0.07326597287698669,0.2563950817508282,-0.08252724175146443,0.1567042088633813,0.059528386240606135,0.42695800544081214,0.07298811815286671,0.6593021143207224,0.0031028071435696514,0.26011251115262796,-0.02076782895020237,0.025220569640806666,0.13388518347721887,0.041065274302815154,0.02307501895885757,0.6397029755132022,0.23922237075882155,0.0697033841306546,0.1033913396515206,0.07906981304929013,-0.020892285638607472,0.046298883191045526,0.06792555390313465,0.03846895889951698,-0.13525743739794335,-0.038745250977376376,-0.048631048316847975,-0.04345410074955969,-0.12225033283136752,-0.1001832785666385,-0.043017710329628166,-0.2925485783773295,-0.033976277151294365,-0.046238201371865656,-0.03399325802966824,-0.09378988755490852,-0.10214361656677684,-0.04869440153037348,-0.2826832366429711,0.023255803382717537,0.5090486220821459,0.029107781763900196,0.5915996648888492,0.0022706444107283047,0.1575192996838713,0.0031078351744815718,-0.04339397062676358,-0.018307396782764284,0.06180342980508082,0.027066255539623565,0.5749938342988472,0.20601249304878377
coal_co2,0.12434640626659348,0.9591108592156816,0.18046168070181473,-0.27865311582697766,0.9004057861243746,0.07326597287698669,1.0,0.1776356512680663,0.8103304380618926,-0.062215816200981364,0.8201395462637308,0.029879108625079663,0.8649905318696537,0.06269756943636678,0.9248029003298033,-0.210996698618114,-0.006197429124674893,0.5026456702439152,0.15644864028373032,0.06966636254666113,0.9583836723449104,0.0006009016838977466,0.08410534200632568,0.8632415451376511,0.8700998270018893,0.8851605879871974,0.8430733556905811,0.7264289401534043,0.7949624206455603,0.8824759138712697,-0.16506919744171744,0.42137625916281646,0.6911385018097453,0.4444802291955333,0.7622093345129346,0.6153630795946095,0.6295203004665716,0.6056938265919154,0.4056538272907221,0.6765808786666824,0.4154138040358788,0.7567172284814122,0.5876795973495377,0.6120184674672398,0.554085269579168,0.971165152238445,0.02843706896185703,0.9767918824984803,0.039492240575499986,0.9407897596637461,-0.023612909681109896,0.9529530209109596,-0.03600654759237257,0.8916409229454911,0.8683232887860182,0.9708832373623743,0.0208930043501962,0.04672219525232888
coal_co2_per_capita,0.11728095935563508,0.13987789380016943,0.7672479564813259,0.008134054648078419,0.045035065082719844,0.2563950817508282,0.1776356512680663,1.0,-0.010132494253070692,-0.058903224705058696,0.07581212484790373,0.12221717634574114,0.10281800411607686,0.2724020729289115,-0.06141854201789047,0.20611024520627766,-0.0044120449384176365,0.0624898982447161,0.5006218759067343,0.15436061632103446,0.1135510480565932,0.5323182333573577,0.5175086821666185,0.14330571369994352,0.055457011496470136,0.18196159820263227,-0.018565303539583678,0.07165731167365974,0.08833917195674156,-0.02884006787070638,-0.2593264556455651,0.14858789309258738,0.16823688719932708,0.1552286863746152,-0.00377126801870054,0.25573864472614094,0.17224790591342848,0.3080860974308793,0.16439401956600674,0.18900890310834564,0.17082190700606595,-0.007482233300798886,0.25998045078013793,0.17368165652799014,0.37747766318977577,0.07406262294852493,0.5160888253480785,0.08340666199772102,0.638968364332995,0.0458282559779133,0.18425716456026123,0.05102699570298363,0.2638839206647239,0.00012195757088762492,0.0765071895064916,0.08038539424941214,0.4792772403475874,0.3865727507795126
flaring_co2,-0.01337995482307995,0.8548368856632106,-0.05909041262507203,-0.10109284127270093,0.7644433639523737,-0.08252724175146443,0.8103304380618926,-0.010132494253070692,1.0,-0.011810316891918977,0.8133647901790065,-0.07016483051841378,0.8570719922328077,-0.09467288750256127,0.8403907557504717,-0.2866619525099659,-0.0045612693256722025,0.4415859407296605,0.041416639320780935,0.0487860701294017,0.9270042374289121,-0.14688384078597616,-0.026473487379233513,0.7832421958100284,0.7696582660213297,0.760368755741513,0.8626207411695558,0.7322413641949242,0.7819134479221107,0.7712716882856326,-0.13673880257630436,0.7831337440575395,0.7762535619681526,0.763596985185953,0.892393217718959,0.7181116171423659,0.7758787244835706,0.6883672062550383,0.7198885282686058,0.7637990010787592,0.6918370027390236,0.8490116273611829,0.6702394554659383,0.7398772922945984,0.6000221629399786,0.9819905240309393,-0.04031166583403832,0.9822629718332533,-0.047726755388138475,0.9737551050788096,-0.03259082983309159,0.9735070296855218,-0.04698336351226803,0.8808028356413005,0.841711683410557,0.9143507176157375,-0.08203489383848993,-0.001794122247919681
flaring_co2_per_capita,-0.14022215239985947,-0.05226027492005229,0.6885283336456607,-0.0018078528619091406,-0.03846441757056792,0.1567042088633813,-0.062215816200981364,-0.058903224705058696,-0.011810316891918977,1.0,-0.05089373292894044,0.20669431306014083,-0.05345457139008714,0.04839577109002161,-0.10141946537543928,0.12934844265812898,0.3522380220596963,-0.023815403738533598,0.3495065423801466,0.3562523180500776,-0.08170130785383027,0.26678922228593627,0.10513857522913259,-0.05113453254672949,-0.04215947241889744,-0.06097871374732818,-0.039235780054698056,-0.04361892292579003,-0.04726212220569419,-0.08184207039241347,-0.1999196700416841,-0.054833856308428845,-0.05027875377304567,-0.06798631682014217,-0.010484019186979485,-0.0533500618834089,-0.054620616990526415,-0.09782621189893274,-0.05463303214544014,-0.05359429396582926,-0.06361132701579324,-0.028872889028001912,-0.0495424927456018,-0.05355841418477912,-0.07735856192950033,-0.049162740149488494,0.4437704408012047,-0.04892469804003879,0.3968339131964817,-0.048435819806559505,0.4668398242024109,-0.05037079084788614,-0.06544283674721071,-0.04161879474417477,-0.02870806423287847,-0.037756201367972315,0.14398143571825517,0.007652590334816917
